Row,Col,K Value
0,0,4.00000000000000095e+09
0,6,-4.00000000000000095e+09
1,1,4.48008960000000191e+09
1,7,-4.48008960000000191e+09
2,2,1.79200896000000038e+10
2,8,-1.79200896000000038e+10
3,3,1.31307561000000034e+06
3,9,-1.31307561000000034e+06
6,0,-4.00000000000000095e+09
6,6,8.00000000000000191e+09
6,12,-4.00000000000000095e+09
7,1,-4.48008960000000191e+09
7,7,8.96017920000000381e+09
7,13,-4.48008960000000191e+09
8,2,-1.79200896000000038e+10
8,8,3.58401792000000076e+10
8,14,-1.79200896000000038e+10
9,3,-1.31307561000000034e+06
9,9,2.62615122000000067e+06
9,15,-1.31307561000000034e+06
12,6,-4.00000000000000095e+09
12,12,4.00000000000000095e+09
13,7,-4.48008960000000191e+09
13,13,4.48008960000000191e+09
14,8,-1.79200896000000038e+10
14,14,1.79200896000000038e+10
15,9,-1.31307561000000034e+06
15,15,1.31307561000000034e+06
